2018-10-29 16:49:12.991 | INFO  | 16116 | --- [           main] | o.s.w.s.mvc.method.annotation.RequestMappingHandlerMapping   | Mapped "{[/v2/api-docs],methods=[GET],produces=[application/json || application/hal+json]}" onto public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)
2018-10-29 16:49:12.994 | INFO  | 16116 | --- [           main] | o.s.w.s.mvc.method.annotation.RequestMappingHandlerMapping   | Mapped "{[/swagger-resources/configuration/security]}" onto org.springframework.http.ResponseEntity<springfox.documentation.swagger.web.SecurityConfiguration> springfox.documentation.swagger.web.ApiResourceController.securityConfiguration()
2018-10-29 16:49:12.995 | INFO  | 16116 | --- [           main] | o.s.w.s.mvc.method.annotation.RequestMappingHandlerMapping   | Mapped "{[/swagger-resources]}" onto org.springframework.http.ResponseEntity<java.util.List<springfox.documentation.swagger.web.SwaggerResource>> springfox.documentation.swagger.web.ApiResourceController.swaggerResources()
2018-10-29 16:49:12.997 | INFO  | 16116 | --- [           main] | o.s.w.s.mvc.method.annotation.RequestMappingHandlerMapping   | Mapped "{[/swagger-resources/configuration/ui]}" onto org.springframework.http.ResponseEntity<springfox.documentation.swagger.web.UiConfiguration> springfox.documentation.swagger.web.ApiResourceController.uiConfiguration()
2018-10-29 16:49:13.001 | INFO  | 16116 | --- [           main] | o.s.w.s.mvc.method.annotation.RequestMappingHandlerMapping   | Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2018-10-29 16:49:13.002 | INFO  | 16116 | --- [           main] | o.s.w.s.mvc.method.annotation.RequestMappingHandlerMapping   | Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-10-29 16:49:13.544 | WARN  | 16116 | --- [           main] | com.netflix.config.sources.URLConfigurationSource            | No URLs will be polled as dynamic configuration sources.
2018-10-29 16:49:13.545 | INFO  | 16116 | --- [           main] | com.netflix.config.sources.URLConfigurationSource            | To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2018-10-29 16:49:13.558 | WARN  | 16116 | --- [           main] | com.netflix.config.sources.URLConfigurationSource            | No URLs will be polled as dynamic configuration sources.
2018-10-29 16:49:13.559 | INFO  | 16116 | --- [           main] | com.netflix.config.sources.URLConfigurationSource            | To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2018-10-29 16:49:13.806 | INFO  | 16116 | --- [           main] | o.s.web.servlet.handler.SimpleUrlHandlerMapping              | Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-10-29 16:49:14.195 | INFO  | 16116 | --- [           main] | o.s.w.s.mvc.method.annotation.RequestMappingHandlerAdapter   | Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@2f94c4db: startup date [Mon Oct 29 16:49:09 CST 2018]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@1bd39d3c
2018-10-29 16:49:14.299 | INFO  | 16116 | --- [           main] | o.s.web.servlet.handler.SimpleUrlHandlerMapping              | Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-10-29 16:49:14.300 | INFO  | 16116 | --- [           main] | o.s.web.servlet.handler.SimpleUrlHandlerMapping              | Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
